C:\Behvdata\clash\clashMEG	 April 15, 2014 09:33:15	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
        1.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	        15.000000 	         0.728245 	        40.000000 	         8.000000 	        10.000000 	         9.000000 	         1.000000 	         1.868531 	         1.000000 	         1.000000 	        40.000000 	        50.000000 	        50.000000 	      3794.367281 	         0.000000 	         2.212699 	         2.999142 	         3.612310 	         5.625061 	         7.557837 	         0.900000 	         2.200000 	         0.600000 	         2.000000 	  
         1.000000 	         2.000000 	        43.000000 	        52.000000 	         2.000000 	         1.000000 	        15.000000 	         1.143917 	         4.000000 	         8.000000 	        39.000000 	         2.000000 	         1.000000 	         2.104820 	         0.000000 	         0.000000 	        40.000000 	        49.122318 	        52.080108 	      3794.367281 	         8.464251 	        10.477012 	        11.676663 	        12.289821 	        14.195948 	        16.355324 	         0.900000 	         2.000000 	         0.600000 	         1.900000 	  
         1.000000 	         3.000000 	        50.000000 	        54.000000 	         1.000000 	         1.000000 	        15.000000 	         1.543756 	        10.000000 	         4.000000 	        40.000000 	         7.000000 	         2.000000 	         2.190687 	         0.000000 	         1.000000 	        80.000000 	        46.559481 	        53.370203 	      3794.367281 	        17.368366 	        19.381120 	        20.980664 	        21.593827 	        23.406633 	        25.659342 	         1.000000 	         2.000000 	         0.600000 	         1.800000 	  
         1.000000 	         4.000000 	        42.000000 	        57.000000 	         1.000000 	         1.000000 	        15.000000 	         1.128418 	        34.000000 	         5.000000 	         8.000000 	         1.000000 	         1.000000 	         1.622703 	         1.000000 	         0.000000 	       114.000000 	        43.909329 	        56.272375 	      3794.367281 	        26.672372 	        28.885070 	        30.071399 	        30.484618 	        32.590678 	        34.270102 	         1.000000 	         2.200000 	         0.400000 	         2.100000 	  
         1.000000 	         5.000000 	        45.000000 	        54.000000 	         2.000000 	         1.000000 	        15.000000 	         1.405325 	        40.000000 	         6.000000 	         5.000000 	         7.000000 	         1.000000 	         1.768624 	         1.000000 	         1.000000 	       154.000000 	        42.513257 	        58.532062 	      3794.367281 	        35.483181 	        37.695892 	        39.162131 	        39.775295 	        41.987994 	        43.814135 	         1.200000 	         2.200000 	         0.600000 	         2.200000 	  
         1.000000 	         6.000000 	        39.000000 	        60.000000 	         2.000000 	         1.000000 	        15.000000 	         1.189194 	        27.000000 	         5.000000 	        12.000000 	         9.000000 	         2.000000 	         1.110242 	         1.000000 	         1.000000 	       166.000000 	        38.899939 	        60.642299 	      3794.367281 	        44.827183 	        46.639787 	        47.892963 	        48.506131 	        50.718821 	        51.891817 	         1.000000 	         1.800000 	         0.600000 	         2.200000 	  
         1.000000 	         7.000000 	        37.000000 	        67.000000 	         1.000000 	         1.000000 	        15.000000 	         0.983591 	        30.000000 	         8.000000 	         7.000000 	         9.000000 	         1.000000 	         1.061839 	         1.000000 	         1.000000 	       196.000000 	        36.240778 	        62.310231 	      3794.367281 	        52.704920 	        54.717688 	        55.757390 	        56.170605 	        57.983410 	        59.103095 	         0.800000 	         2.000000 	         0.400000 	         1.800000 	  
         1.000000 	         8.000000 	        35.000000 	        65.000000 	         1.000000 	         1.000000 	        15.000000 	         1.043774 	        10.000000 	         1.000000 	        25.000000 	         8.000000 	         2.000000 	         0.914215 	         0.000000 	         1.000000 	       221.000000 	        33.782372 	        64.235951 	      3794.367281 	        60.116133 	        62.128899 	        63.235245 	        63.741772 	        65.754519 	        66.727582 	         1.000000 	         2.000000 	         0.500000 	         2.000000 	  
         1.000000 	         9.000000 	        35.000000 	        69.000000 	         1.000000 	         1.000000 	        15.000000 	         0.931619 	         3.000000 	         1.000000 	        32.000000 	         5.000000 	         2.000000 	         0.982969 	         0.000000 	         1.000000 	       253.000000 	        34.931128 	        64.478631 	      3794.367281 	        67.540677 	        69.553441 	        70.539826 	        71.152979 	        72.965792 	        74.005496 	         0.800000 	         2.000000 	         0.600000 	         1.800000 	  
         1.000000 	        10.000000 	        34.000000 	        72.000000 	         1.000000 	         1.000000 	        15.000000 	         1.016184 	         7.000000 	         2.000000 	        27.000000 	         7.000000 	         2.000000 	         0.694201 	         0.000000 	         0.000000 	       253.000000 	        32.050979 	        69.246383 	      3794.367281 	        74.911909 	        76.724719 	        77.804385 	        78.417568 	        80.430322 	        81.190110 	         0.900000 	         1.800000 	         0.600000 	         2.000000 	  
