C:\behvdata\clash\clashMEG	 May 14, 2014 09:05:08	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       12.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	        15.000000 	         0.817982 	        40.000000 	         8.000000 	        10.000000 	         9.000000 	         1.000000 	         0.904204 	         1.000000 	         1.000000 	        40.000000 	        50.000000 	        50.000000 	      3767.466917 	         0.000000 	         2.212682 	         3.092421 	         3.705570 	         5.718313 	         6.678028 	         0.900000 	         2.200000 	         0.600000 	         2.000000 	  
        12.000000 	         2.000000 	        43.000000 	        52.000000 	         2.000000 	         1.000000 	        15.000000 	         1.121412 	         4.000000 	         8.000000 	        39.000000 	         2.000000 	         2.000000 	         1.511532 	         0.000000 	         0.000000 	        40.000000 	        49.122318 	        52.080108 	      3767.466917 	         7.584425 	         9.597028 	        10.783488 	        11.396637 	        13.302739 	        14.875364 	         0.900000 	         2.000000 	         0.600000 	         1.900000 	  
        12.000000 	         3.000000 	        50.000000 	        54.000000 	         1.000000 	         1.000000 	        15.000000 	         0.864090 	        10.000000 	         4.000000 	        40.000000 	         7.000000 	         2.000000 	         0.822787 	         0.000000 	         1.000000 	        80.000000 	        46.559481 	        53.370203 	      3767.466917 	        15.888644 	        17.901381 	        18.821102 	        19.434264 	        21.247055 	        22.126791 	         1.000000 	         2.000000 	         0.600000 	         1.800000 	  
        12.000000 	         4.000000 	        42.000000 	        57.000000 	         1.000000 	         1.000000 	        15.000000 	         0.749138 	        34.000000 	         5.000000 	         8.000000 	         1.000000 	         1.000000 	         0.872993 	         1.000000 	         0.000000 	       114.000000 	        43.909329 	        56.272375 	      3767.466917 	        23.139832 	        25.352515 	        26.165605 	        26.578768 	        28.684859 	        29.617914 	         1.000000 	         2.200000 	         0.400000 	         2.100000 	  
        12.000000 	         5.000000 	        45.000000 	        54.000000 	         2.000000 	         1.000000 	        15.000000 	         0.986513 	        40.000000 	         6.000000 	         5.000000 	         7.000000 	         1.000000 	         0.906754 	         1.000000 	         1.000000 	       154.000000 	        42.513257 	        58.532062 	      3767.466917 	        30.830887 	        33.043578 	        34.096589 	        34.709748 	        36.922435 	        37.895217 	         1.200000 	         2.200000 	         0.600000 	         2.200000 	  
        12.000000 	         6.000000 	        39.000000 	        60.000000 	         2.000000 	         1.000000 	        15.000000 	         0.684288 	        27.000000 	         5.000000 	        12.000000 	         9.000000 	         1.000000 	         0.855893 	         1.000000 	         1.000000 	       181.000000 	        38.899939 	        60.642299 	      3767.466917 	        38.908503 	        40.721306 	        41.467749 	        42.080909 	        44.293586 	        45.213311 	         1.000000 	         1.800000 	         0.600000 	         2.200000 	  
        12.000000 	         7.000000 	        37.000000 	        67.000000 	         1.000000 	         2.000000 	        15.000000 	         0.678868 	        60.000000 	         4.000000 	         7.000000 	         5.000000 	         1.000000 	         1.177783 	         1.000000 	         0.000000 	       226.000000 	        36.240778 	        62.310231 	      3767.466917 	        46.026402 	        48.039142 	        48.772254 	        49.385406 	        51.491456 	        52.731085 	         0.800000 	         2.000000 	         0.600000 	         2.100000 	  
        12.000000 	         8.000000 	        35.000000 	        60.000000 	         1.000000 	         2.000000 	         5.000000 	         0.659052 	        12.000000 	         9.000000 	        48.000000 	         4.000000 	         1.000000 	         1.332057 	         1.000000 	         0.000000 	       238.000000 	        38.173289 	        58.982725 	      3767.466917 	        53.837424 	        55.850174 	        56.569951 	        56.983162 	        59.089214 	        60.475469 	         1.100000 	         2.000000 	         0.400000 	         2.100000 	  
        12.000000 	         9.000000 	        37.000000 	        54.000000 	         2.000000 	         2.000000 	         5.000000 	         0.922905 	        22.000000 	         8.000000 	        32.000000 	         6.000000 	         2.000000 	         1.440847 	         1.000000 	         1.000000 	       270.000000 	        41.710011 	        55.952228 	      3767.466917 	        61.581801 	        63.794496 	        64.780857 	        65.287377 	        67.500051 	        69.006282 	         1.100000 	         2.200000 	         0.500000 	         2.200000 	  
        12.000000 	        10.000000 	        38.000000 	        56.000000 	         2.000000 	         2.000000 	         5.000000 	         0.652937 	         6.000000 	         9.000000 	        50.000000 	         3.000000 	         1.000000 	         1.648206 	         1.000000 	         1.000000 	       276.000000 	        42.687614 	        52.826462 	      3767.466917 	        70.019311 	        72.032055 	        72.738505 	        73.151724 	        74.964520 	        76.670683 	         1.000000 	         2.000000 	         0.400000 	         1.800000 	  
        12.000000 	        11.000000 	        41.000000 	        50.000000 	         2.000000 	         2.000000 	         5.000000 	         2.259981 	        40.000000 	         4.000000 	        10.000000 	         1.000000 	         1.000000 	         0.813814 	         1.000000 	         0.000000 	       316.000000 	        42.764754 	        49.899817 	      3767.466917 	        77.483775 	        79.296568 	        81.615880 	        82.229035 	        84.335079 	        85.214819 	         0.800000 	         1.800000 	         0.600000 	         2.100000 	  
        12.000000 	        12.000000 	        45.000000 	        39.000000 	         1.000000 	         2.000000 	         5.000000 	         0.887221 	        16.000000 	         2.000000 	        23.000000 	         4.000000 	         2.000000 	         0.989371 	         0.000000 	         0.000000 	       316.000000 	        44.368668 	        46.406286 	      3767.466917 	        86.321162 	        88.133963 	        89.080344 	        89.693493 	        91.599601 	        92.652623 	         1.100000 	         1.800000 	         0.600000 	         1.900000 	  
        12.000000 	        13.000000 	        53.000000 	        45.000000 	         2.000000 	         2.000000 	         5.000000 	         0.864995 	        13.000000 	         4.000000 	        32.000000 	         9.000000 	         2.000000 	         0.855937 	         0.000000 	         1.000000 	       348.000000 	        46.096331 	        42.199638 	      3767.466917 	        93.758708 	        95.571760 	        96.491491 	        97.104635 	        99.317315 	       100.237043 	         1.100000 	         1.800000 	         0.600000 	         2.200000 	  
