C:\behvdata\clash\clashMEG	 June 18, 2014 09:44:18	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       29.000000 	         1.000000 	        50.000000 	        50.000000 	         2.000000 	         1.000000 	        15.000000 	         3.851716 	        35.000000 	         2.000000 	        15.000000 	         5.000000 	         2.000000 	         1.835141 	         0.000000 	         1.000000 	        15.000000 	        50.000000 	        50.000000 	      3380.005666 	         0.000000 	         2.212697 	         6.118255 	         6.731413 	         8.837471 	        10.730265 	         1.100000 	         2.200000 	         0.600000 	         2.100000 	  
        29.000000 	         2.000000 	        50.000000 	        59.000000 	         1.000000 	         1.000000 	        15.000000 	         3.134544 	        15.000000 	         6.000000 	        35.000000 	         8.000000 	         2.000000 	         1.408973 	         0.000000 	         1.000000 	        50.000000 	        48.689601 	        52.901475 	      3380.005666 	        11.636681 	        13.649445 	        16.848523 	        17.461682 	        19.567752 	        21.033995 	         0.900000 	         2.000000 	         0.600000 	         2.100000 	  
        29.000000 	         3.000000 	        45.000000 	        58.000000 	         1.000000 	         1.000000 	        15.000000 	         1.117100 	         4.000000 	         3.000000 	        41.000000 	         6.000000 	         2.000000 	         1.176609 	         0.000000 	         1.000000 	        91.000000 	        46.457935 	        54.295007 	      3380.005666 	        22.047047 	        24.259741 	        25.432744 	        26.045906 	        27.952028 	        29.191678 	         1.000000 	         2.200000 	         0.600000 	         1.900000 	  
        29.000000 	         4.000000 	        39.000000 	        52.000000 	         1.000000 	         1.000000 	        15.000000 	         1.137904 	         8.000000 	         5.000000 	        31.000000 	         3.000000 	         2.000000 	         2.306778 	         1.000000 	         1.000000 	       122.000000 	        44.812419 	        55.211098 	      3380.005666 	        30.098077 	        32.310780 	        33.510434 	        33.923653 	        35.829782 	        38.202440 	         0.900000 	         2.200000 	         0.400000 	         1.900000 	  
        29.000000 	         5.000000 	        39.000000 	        60.000000 	         1.000000 	         1.000000 	        15.000000 	         2.259956 	        35.000000 	         8.000000 	         4.000000 	         7.000000 	         1.000000 	         0.995092 	         1.000000 	         1.000000 	       157.000000 	        43.739958 	        57.296024 	      3380.005666 	        39.415425 	        41.228239 	        43.547381 	        43.960800 	        45.973551 	        47.026579 	         1.200000 	         1.800000 	         0.400000 	         2.000000 	  
        29.000000 	         6.000000 	        42.000000 	        53.000000 	         1.000000 	         1.000000 	        15.000000 	         2.044209 	        29.000000 	         1.000000 	        13.000000 	         4.000000 	         2.000000 	         1.210134 	         0.000000 	         1.000000 	       170.000000 	        42.027688 	        58.550395 	      3380.005666 	        48.239574 	        50.452272 	        52.558346 	        52.971556 	        54.877680 	        56.143989 	         1.200000 	         2.200000 	         0.400000 	         1.900000 	  
        29.000000 	         7.000000 	        42.000000 	        56.000000 	         2.000000 	         1.000000 	        15.000000 	         1.070592 	         4.000000 	         1.000000 	        38.000000 	         2.000000 	         2.000000 	         1.474247 	         0.000000 	         1.000000 	       208.000000 	        39.709817 	        59.540245 	      3380.005666 	        57.356970 	        59.369733 	        60.502737 	        61.009268 	        63.221963 	        64.754592 	         1.200000 	         2.000000 	         0.500000 	         2.200000 	  
        29.000000 	         8.000000 	        36.000000 	        62.000000 	         2.000000 	         1.000000 	        15.000000 	         1.259736 	        11.000000 	         8.000000 	        25.000000 	         1.000000 	         1.000000 	         1.319717 	         1.000000 	         0.000000 	       219.000000 	        37.667924 	        59.525480 	      3380.005666 	        65.567965 	        67.580725 	        68.900354 	        69.406868 	        71.312977 	        72.699263 	         0.800000 	         2.000000 	         0.500000 	         1.900000 	  
        29.000000 	         9.000000 	        35.000000 	        64.000000 	         1.000000 	         2.000000 	        15.000000 	         1.442754 	        19.000000 	         3.000000 	        45.000000 	         8.000000 	         2.000000 	         1.430700 	         0.000000 	         1.000000 	       249.000000 	        34.595635 	        62.168165 	      3380.005666 	        73.712306 	        75.725072 	        77.231305 	        77.844470 	        80.057161 	        81.550076 	         1.000000 	         2.000000 	         0.600000 	         2.200000 	  
        29.000000 	        10.000000 	        32.000000 	        58.000000 	         2.000000 	         2.000000 	        10.000000 	         0.968383 	        23.000000 	         4.000000 	        35.000000 	         8.000000 	         2.000000 	         1.214515 	         0.000000 	         1.000000 	       284.000000 	        36.088217 	        60.985403 	      3380.005666 	        82.763067 	        84.775816 	        85.802193 	        86.415353 	        88.321477 	        89.601110 	         1.200000 	         2.000000 	         0.600000 	         1.900000 	  
        29.000000 	        11.000000 	        39.000000 	        57.000000 	         1.000000 	         2.000000 	        10.000000 	         1.504193 	        51.000000 	         5.000000 	         6.000000 	         8.000000 	         1.000000 	         1.345327 	         1.000000 	         1.000000 	       335.000000 	        39.217361 	        58.910441 	      3380.005666 	        90.507524 	        92.720219 	        94.279780 	        94.692991 	        96.799061 	        98.211993 	         0.900000 	         2.200000 	         0.400000 	         2.100000 	  
        29.000000 	        12.000000 	        43.000000 	        56.000000 	         1.000000 	         2.000000 	        10.000000 	         1.106664 	        22.000000 	         5.000000 	        34.000000 	         1.000000 	         1.000000 	         1.638059 	         1.000000 	         0.000000 	       357.000000 	        41.411856 	        57.345558 	      3380.005666 	        99.225035 	       101.237798 	       102.410790 	       102.917312 	       104.730129 	       106.422984 	         1.000000 	         2.000000 	         0.500000 	         1.800000 	  
        29.000000 	        13.000000 	        46.000000 	        62.000000 	         2.000000 	         2.000000 	        10.000000 	         1.544058 	        19.000000 	         6.000000 	        43.000000 	         3.000000 	         1.000000 	         2.600553 	         0.000000 	         1.000000 	       357.000000 	        44.922231 	        52.734033 	      3380.005666 	       107.236079 	       109.448784 	       111.048326 	       111.554855 	       113.767555 	       116.433297 	         0.800000 	         2.200000 	         0.500000 	         2.200000 	  
        29.000000 	        14.000000 	        46.000000 	        55.000000 	         2.000000 	         2.000000 	        10.000000 	         1.637214 	         5.000000 	         5.000000 	        50.000000 	         8.000000 	         2.000000 	         2.083719 	         1.000000 	         1.000000 	       407.000000 	        46.823939 	        50.881469 	      3380.005666 	       117.246564 	       119.259321 	       120.952165 	       121.458700 	       123.564753 	       125.710810 	         0.800000 	         2.000000 	         0.500000 	         2.100000 	  
        29.000000 	        15.000000 	        45.000000 	        51.000000 	         2.000000 	         2.000000 	        10.000000 	         2.647877 	        31.000000 	         9.000000 	        20.000000 	         4.000000 	         1.000000 	         0.925814 	         1.000000 	         0.000000 	       438.000000 	        49.417956 	        47.743728 	      3380.005666 	       126.923798 	       128.936567 	       131.642463 	       132.255611 	       134.161741 	       135.148119 	         1.200000 	         2.000000 	         0.600000 	         1.900000 	  
        29.000000 	        16.000000 	        53.000000 	        48.000000 	         1.000000 	         2.000000 	        10.000000 	         0.737755 	        10.000000 	         8.000000 	        38.000000 	         2.000000 	         1.000000 	         2.219388 	         0.000000 	         1.000000 	       438.000000 	        51.445109 	        46.822821 	      3380.005666 	       136.361109 	       138.373872 	       139.173641 	       139.586858 	       141.492973 	       143.772327 	         1.200000 	         2.000000 	         0.400000 	         1.900000 	  
        29.000000 	        17.000000 	        54.000000 	        46.000000 	         1.000000 	         2.000000 	        10.000000 	         2.228156 	        14.000000 	         9.000000 	        32.000000 	         5.000000 	         2.000000 	         2.168112 	         1.000000 	         0.000000 	       438.000000 	        52.965038 	        44.481794 	      3380.005666 	       144.678735 	       146.891438 	       149.184123 	       149.797281 	       151.703395 	       153.929432 	         0.900000 	         2.200000 	         0.600000 	         1.900000 	  
        29.000000 	        18.000000 	        50.000000 	        39.000000 	         1.000000 	         2.000000 	        10.000000 	         4.215520 	        27.000000 	         1.000000 	        12.000000 	         3.000000 	         2.000000 	         1.382985 	         0.000000 	         0.000000 	       438.000000 	        53.928732 	        42.304531 	      3380.005666 	       154.835847 	       156.648662 	       160.927431 	       161.540594 	       163.753303 	       165.192884 	         0.900000 	         1.800000 	         0.600000 	         2.200000 	  
