C:\behvdata\clash\clashMEG	 August 05, 2014 09:19:44	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       37.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	        10.000000 	         1.688192 	        15.000000 	         4.000000 	        35.000000 	         5.000000 	         2.000000 	         1.204403 	         1.000000 	         1.000000 	        35.000000 	        50.000000 	        50.000000 	      2608.478794 	         0.000000 	         1.812799 	         3.558950 	         4.172107 	         6.384787 	         7.651083 	         1.200000 	         1.800000 	         0.600000 	         2.200000 	  
        37.000000 	         2.000000 	        50.000000 	        52.000000 	         2.000000 	         1.000000 	        10.000000 	         0.914318 	        40.000000 	         4.000000 	        10.000000 	         6.000000 	         1.000000 	         1.574107 	         1.000000 	         1.000000 	        75.000000 	        50.712602 	        51.391212 	      2608.478794 	         8.557477 	        10.570215 	        11.543258 	        12.049775 	        13.862576 	        15.502101 	         0.900000 	         2.000000 	         0.500000 	         1.800000 	  
        37.000000 	         3.000000 	        48.000000 	        60.000000 	         2.000000 	         1.000000 	        10.000000 	         0.653126 	         5.000000 	         2.000000 	        43.000000 	         5.000000 	         2.000000 	         1.016589 	         0.000000 	         1.000000 	       118.000000 	        49.888983 	        52.809639 	      2608.478794 	        16.315188 	        18.527867 	        19.234317 	        19.647531 	        21.860218 	        22.939899 	         0.800000 	         2.200000 	         0.400000 	         2.200000 	  
        37.000000 	         4.000000 	        49.000000 	        58.000000 	         1.000000 	         1.000000 	        10.000000 	         0.719643 	        44.000000 	         2.000000 	         5.000000 	         1.000000 	         1.000000 	         1.274181 	         0.000000 	         0.000000 	       118.000000 	        48.970403 	        55.175289 	      2608.478794 	        23.752998 	        25.965678 	        26.738781 	        27.245301 	        29.058104 	        30.391042 	         0.800000 	         2.200000 	         0.500000 	         1.800000 	  
        37.000000 	         5.000000 	        44.000000 	        58.000000 	         2.000000 	         1.000000 	        10.000000 	         0.806308 	         4.000000 	         3.000000 	        40.000000 	         9.000000 	         2.000000 	         0.945650 	         1.000000 	         0.000000 	       118.000000 	        45.473919 	        58.437903 	      2608.478794 	        31.297357 	        33.110240 	        33.976646 	        34.389864 	        36.602543 	        37.615561 	         0.900000 	         1.800000 	         0.400000 	         2.200000 	  
        37.000000 	         6.000000 	        39.000000 	        54.000000 	         2.000000 	         1.000000 	        10.000000 	         0.989768 	         8.000000 	         1.000000 	        31.000000 	         5.000000 	         2.000000 	         0.988525 	         0.000000 	         1.000000 	       149.000000 	        43.422621 	        62.529586 	      2608.478794 	        38.521980 	        40.534715 	        41.587733 	        42.094254 	        44.200304 	        45.253323 	         0.900000 	         2.000000 	         0.500000 	         2.100000 	  
        37.000000 	         7.000000 	        41.000000 	        58.000000 	         2.000000 	         1.000000 	        10.000000 	         1.045915 	        37.000000 	         4.000000 	         4.000000 	         5.000000 	         1.000000 	         1.379761 	         1.000000 	         0.000000 	       186.000000 	        41.469912 	        62.622775 	      2608.478794 	        46.066410 	        48.279090 	        49.385433 	        49.998586 	        52.104633 	        53.544210 	         0.800000 	         2.200000 	         0.600000 	         2.100000 	  
        37.000000 	         8.000000 	        40.000000 	        60.000000 	         1.000000 	         1.000000 	        10.000000 	         0.676836 	         8.000000 	         9.000000 	        32.000000 	         4.000000 	         2.000000 	         3.441004 	         1.000000 	         0.000000 	       186.000000 	        38.976019 	        63.500006 	      2608.478794 	        54.650547 	        56.663291 	        57.396413 	        57.809627 	        59.915668 	        63.421295 	         1.100000 	         2.000000 	         0.400000 	         2.100000 	  
        37.000000 	         9.000000 	        35.000000 	        61.000000 	         2.000000 	         1.000000 	        10.000000 	         0.711493 	        14.000000 	         8.000000 	        21.000000 	         6.000000 	         2.000000 	         1.971189 	         1.000000 	         1.000000 	       207.000000 	        36.745791 	        66.023659 	      2608.478794 	        64.527635 	        66.740313 	        67.513423 	        68.019934 	        70.232618 	        72.258694 	         1.100000 	         2.200000 	         0.500000 	         2.200000 	  
        37.000000 	        10.000000 	        37.000000 	        61.000000 	         2.000000 	         2.000000 	        10.000000 	         0.968189 	        12.000000 	         5.000000 	        49.000000 	         6.000000 	         2.000000 	         1.468147 	         1.000000 	         0.000000 	       197.000000 	        34.388282 	        66.028716 	      2608.478794 	        73.271720 	        75.284459 	        76.310832 	        76.923976 	        78.936480 	        80.469598 	         1.000000 	         2.000000 	         0.600000 	         2.000000 	  
        37.000000 	        11.000000 	        35.000000 	        60.000000 	         2.000000 	         2.000000 	        15.000000 	         0.940264 	        18.000000 	         1.000000 	        42.000000 	         9.000000 	         2.000000 	         1.184048 	         0.000000 	         1.000000 	       239.000000 	        37.795989 	        62.775310 	      2608.478794 	        81.282689 	        83.295430 	        84.295146 	        84.801654 	        86.907700 	        88.147341 	         0.800000 	         2.000000 	         0.500000 	         2.100000 	  
        37.000000 	        12.000000 	        36.000000 	        64.000000 	         2.000000 	         2.000000 	        15.000000 	         1.209068 	        45.000000 	         5.000000 	        19.000000 	         2.000000 	         1.000000 	         0.984315 	         1.000000 	         1.000000 	       284.000000 	        40.396620 	        60.561093 	      2608.478794 	        89.053731 	        91.066472 	        92.332776 	        92.745977 	        94.652081 	        95.691772 	         0.900000 	         2.000000 	         0.400000 	         1.900000 	  
        37.000000 	        13.000000 	        44.000000 	        64.000000 	         1.000000 	         2.000000 	        15.000000 	         0.718753 	        19.000000 	         1.000000 	        45.000000 	         6.000000 	         2.000000 	         0.758840 	         0.000000 	         1.000000 	       329.000000 	        42.311677 	        57.681059 	      2608.478794 	        96.504876 	        98.517618 	        99.290722 	        99.903866 	       101.716673 	       102.529755 	         0.800000 	         2.000000 	         0.600000 	         1.800000 	  
        37.000000 	        14.000000 	        40.000000 	        59.000000 	         1.000000 	         2.000000 	        15.000000 	         0.728253 	        12.000000 	         1.000000 	        47.000000 	         8.000000 	         2.000000 	         0.747759 	         0.000000 	         1.000000 	       376.000000 	        45.553145 	        56.002008 	      2608.478794 	       103.742742 	       105.955419 	       106.741615 	       107.355002 	       109.367745 	       110.180842 	         1.200000 	         2.200000 	         0.600000 	         2.000000 	  
        37.000000 	        15.000000 	        47.000000 	        62.000000 	         1.000000 	         2.000000 	        15.000000 	         0.718125 	        50.000000 	         8.000000 	        12.000000 	         3.000000 	         1.000000 	         0.952984 	         1.000000 	         0.000000 	       426.000000 	        47.933228 	        56.654821 	      2608.478794 	       111.393807 	       113.606494 	       114.379594 	       114.792808 	       116.698921 	       117.711957 	         1.200000 	         2.200000 	         0.400000 	         1.900000 	  
        37.000000 	        16.000000 	        51.000000 	        51.000000 	         1.000000 	         2.000000 	        15.000000 	         0.564336 	         5.000000 	         5.000000 	        46.000000 	         2.000000 	         2.000000 	         1.608542 	         1.000000 	         0.000000 	       426.000000 	        48.752176 	        52.306532 	      2608.478794 	       118.818128 	       121.030974 	       121.657458 	       122.070670 	       124.283350 	       125.949516 	         1.100000 	         2.200000 	         0.400000 	         2.200000 	  
        37.000000 	        17.000000 	        61.000000 	        48.000000 	         1.000000 	         2.000000 	        15.000000 	         0.591230 	        34.000000 	         6.000000 	        14.000000 	         8.000000 	         1.000000 	         1.466698 	         1.000000 	         1.000000 	       460.000000 	        51.806293 	        50.044540 	      2608.478794 	       126.855915 	       129.068606 	       129.721738 	       130.228258 	       132.440941 	       133.973824 	         0.900000 	         2.200000 	         0.500000 	         2.200000 	  
        37.000000 	        18.000000 	        55.000000 	        48.000000 	         1.000000 	         2.000000 	        15.000000 	         0.555514 	         5.000000 	         7.000000 	        43.000000 	         4.000000 	         2.000000 	         1.575443 	         1.000000 	         1.000000 	       503.000000 	        52.654199 	        48.597430 	      2608.478794 	       134.986860 	       136.799659 	       137.412814 	       138.025954 	       139.932073 	       141.571579 	         1.000000 	         1.800000 	         0.600000 	         1.900000 	  
        37.000000 	        19.000000 	        56.000000 	        43.000000 	         2.000000 	         2.000000 	        15.000000 	         0.781559 	        17.000000 	         6.000000 	        26.000000 	         5.000000 	         2.000000 	         2.615014 	         1.000000 	         0.000000 	       503.000000 	        53.340988 	        47.554238 	      2608.478794 	       142.784560 	       144.597361 	       145.437107 	       145.850319 	       147.756422 	       150.435522 	         1.200000 	         1.800000 	         0.400000 	         1.900000 	  
        37.000000 	        20.000000 	        60.000000 	        51.000000 	         1.000000 	         2.000000 	        15.000000 	         0.653716 	        36.000000 	         4.000000 	        15.000000 	         9.000000 	         2.000000 	         2.585259 	         1.000000 	         1.000000 	       518.000000 	        55.138852 	        47.868367 	      2608.478794 	       151.248724 	       153.061516 	       153.781312 	       154.287831 	       156.193947 	       158.846490 	         0.800000 	         1.800000 	         0.500000 	         1.900000 	  
        37.000000 	        21.000000 	        57.000000 	        41.000000 	         1.000000 	         2.000000 	        15.000000 	         0.813935 	        33.000000 	         1.000000 	         8.000000 	         2.000000 	         1.000000 	         1.798393 	         0.000000 	         1.000000 	       518.000000 	        56.394190 	        47.971692 	      2608.478794 	       159.952825 	       161.765629 	       162.645369 	       163.258515 	       165.364565 	       167.217349 	         1.100000 	         1.800000 	         0.600000 	         2.100000 	  
        37.000000 	        22.000000 	        58.000000 	        48.000000 	         1.000000 	         2.000000 	        15.000000 	         0.480223 	        34.000000 	         2.000000 	        14.000000 	         4.000000 	         1.000000 	         2.701626 	         0.000000 	         1.000000 	       518.000000 	        58.920972 	        47.329592 	      2608.478794 	       168.030443 	       170.243123 	       170.789626 	       171.296143 	       173.508835 	       176.268010 	         0.800000 	         2.200000 	         0.500000 	         2.200000 	  
        37.000000 	        23.000000 	        69.000000 	        48.000000 	         1.000000 	         2.000000 	        15.000000 	         0.733378 	        10.000000 	         3.000000 	        38.000000 	         8.000000 	         2.000000 	         0.987243 	         1.000000 	         1.000000 	       556.000000 	        61.425063 	        44.937485 	      2608.478794 	       177.480984 	       179.293793 	       180.093549 	       180.706701 	       182.519508 	       183.572524 	         1.200000 	         1.800000 	         0.600000 	         1.800000 	  
        37.000000 	        24.000000 	        66.000000 	        46.000000 	         2.000000 	         2.000000 	        15.000000 	         0.700565 	        32.000000 	         3.000000 	        14.000000 	         4.000000 	         1.000000 	         1.714996 	         0.000000 	         1.000000 	       556.000000 	        64.642600 	        42.483028 	      2608.478794 	       184.385620 	       186.398357 	       187.158137 	       187.571343 	       189.584082 	       191.356899 	         0.800000 	         2.000000 	         0.400000 	         2.000000 	  
        37.000000 	        25.000000 	        64.000000 	        44.000000 	         1.000000 	         2.000000 	        15.000000 	         0.604256 	        26.000000 	         2.000000 	        18.000000 	         3.000000 	         1.000000 	         1.447101 	         0.000000 	         0.000000 	       556.000000 	        65.696252 	        43.122060 	      2608.478794 	       192.369930 	       194.582609 	       195.249081 	       195.662297 	       197.475094 	       198.981316 	         1.000000 	         2.200000 	         0.400000 	         1.800000 	  
        37.000000 	        26.000000 	        71.000000 	        43.000000 	         2.000000 	         2.000000 	        15.000000 	         0.973730 	        17.000000 	         7.000000 	        26.000000 	         6.000000 	         2.000000 	         1.695058 	         0.000000 	         1.000000 	       582.000000 	        69.087823 	        41.159381 	      2608.478794 	       199.887714 	       201.700512 	       202.740207 	       203.353365 	       205.459403 	       207.218887 	         0.900000 	         1.800000 	         0.600000 	         2.100000 	  
        37.000000 	        27.000000 	        80.000000 	        41.000000 	         2.000000 	         2.000000 	        15.000000 	         0.725359 	        16.000000 	         5.000000 	        25.000000 	         3.000000 	         1.000000 	         2.431107 	         0.000000 	         0.000000 	       582.000000 	        71.263112 	        38.796388 	      2608.478794 	       208.431867 	       210.244661 	       211.031096 	       211.537620 	       213.643658 	       216.136252 	         1.200000 	         1.800000 	         0.500000 	         2.100000 	  
        37.000000 	        28.000000 	        72.000000 	        38.000000 	         2.000000 	         2.000000 	        15.000000 	         0.723550 	        34.000000 	         1.000000 	         4.000000 	         8.000000 	         2.000000 	         4.544739 	         0.000000 	         1.000000 	       586.000000 	        71.977867 	        37.941556 	      2608.478794 	       217.242598 	       219.455274 	       220.241711 	       220.654917 	       222.561032 	       227.173003 	         1.100000 	         2.200000 	         0.400000 	         1.900000 	  
        37.000000 	        29.000000 	        74.000000 	        34.000000 	         2.000000 	         1.000000 	        15.000000 	         0.950435 	        44.000000 	         5.000000 	        30.000000 	         3.000000 	         1.000000 	         1.209286 	         1.000000 	         1.000000 	       615.000000 	        74.130492 	        36.949083 	      2608.478794 	       228.079405 	       230.292074 	       231.305000 	       231.918274 	       234.024326 	       235.290611 	         0.900000 	         2.200000 	         0.600000 	         2.100000 	  
        37.000000 	        30.000000 	        72.000000 	        40.000000 	         1.000000 	         1.000000 	        15.000000 	         1.169208 	        50.000000 	         3.000000 	        22.000000 	         6.000000 	         2.000000 	         3.231529 	         0.000000 	         0.000000 	       615.000000 	        71.936359 	        39.804069 	      2608.478794 	       236.197001 	       242.208568 	       243.434621 	       243.848087 	       245.954132 	       249.246479 	         0.900000 	         6.000000 	         0.400000 	         2.100000 	  
        37.000000 	        31.000000 	        66.000000 	        39.000000 	         1.000000 	         1.000000 	        15.000000 	         1.276000 	        53.000000 	         7.000000 	        13.000000 	         1.000000 	         1.000000 	         0.853454 	         1.000000 	         0.000000 	       668.000000 	        67.195579 	        40.430283 	      2608.478794 	       250.152885 	       251.965686 	       253.298626 	       253.711837 	       255.924521 	       256.844246 	         0.900000 	         1.800000 	         0.400000 	         2.200000 	  
        37.000000 	        32.000000 	        66.000000 	        43.000000 	         1.000000 	         1.000000 	        15.000000 	         0.747800 	        59.000000 	         9.000000 	         7.000000 	         2.000000 	         1.000000 	         0.847091 	         1.000000 	         0.000000 	       727.000000 	        63.592095 	        44.836925 	      2608.478794 	       257.857283 	       259.870021 	       260.683115 	       261.189638 	       263.402309 	       264.308710 	         1.000000 	         2.000000 	         0.500000 	         2.200000 	  
        37.000000 	        33.000000 	        62.000000 	        48.000000 	         1.000000 	         1.000000 	        15.000000 	         0.630343 	         6.000000 	         2.000000 	        56.000000 	         3.000000 	         2.000000 	         1.529544 	         1.000000 	         0.000000 	       727.000000 	        60.345124 	        47.623032 	      2608.478794 	       265.415058 	       267.427792 	       268.120927 	       268.627448 	       270.640183 	       272.226374 	         1.100000 	         2.000000 	         0.500000 	         2.000000 	  
        37.000000 	        34.000000 	        60.000000 	        53.000000 	         2.000000 	         1.000000 	        15.000000 	         0.716959 	         6.000000 	         8.000000 	        54.000000 	         4.000000 	         2.000000 	         2.473448 	         0.000000 	         0.000000 	       727.000000 	        58.284660 	        50.530255 	      2608.478794 	       273.239420 	       275.452093 	       276.224949 	       276.838358 	       278.944403 	       281.476989 	         1.000000 	         2.200000 	         0.600000 	         2.100000 	  
        37.000000 	        35.000000 	        57.000000 	        54.000000 	         1.000000 	         1.000000 	        15.000000 	         0.826625 	        40.000000 	         1.000000 	        17.000000 	         3.000000 	         1.000000 	         2.227360 	         0.000000 	         1.000000 	       727.000000 	        55.976902 	        51.384465 	      2608.478794 	       282.689962 	       284.702701 	       285.595761 	       286.208930 	       288.421606 	       290.714261 	         1.200000 	         2.000000 	         0.600000 	         2.200000 	  
        37.000000 	        36.000000 	        58.000000 	        53.000000 	         1.000000 	         1.000000 	        15.000000 	         0.728391 	         6.000000 	         1.000000 	        52.000000 	         3.000000 	         2.000000 	         1.869801 	         0.000000 	         0.000000 	       727.000000 	        55.030253 	        52.766498 	      2608.478794 	       291.620659 	       293.833341 	       294.619777 	       295.032993 	       297.139045 	       299.071800 	         0.900000 	         2.200000 	         0.400000 	         2.100000 	  
        37.000000 	        37.000000 	        55.000000 	        46.000000 	         2.000000 	         1.000000 	        15.000000 	         0.730438 	         5.000000 	         4.000000 	        50.000000 	         5.000000 	         2.000000 	         0.966188 	         1.000000 	         1.000000 	       777.000000 	        53.475891 	        52.693343 	      2608.478794 	       300.178142 	       302.390819 	       303.177254 	       303.590462 	       305.603210 	       306.629560 	         1.100000 	         2.200000 	         0.400000 	         2.000000 	  
